k,silhouette,davies_bouldin,inertia
3,0.33112862706184387,0.9867698773698921,264726.0
4,0.32661178708076477,0.9843157183468821,217984.375
5,0.3474348187446594,0.9608881946929981,172481.015625
6,0.3488531708717346,0.9650225596726386,148335.609375
7,0.3418140709400177,1.0162294437333497,134905.015625
