cluster,pixels,percent,ndvi_mean,ndwi_mean,ndbi_mean,nbr_mean,brightness_mean,nir_mean,swir1_mean,scl_mode,classe_interpretada,risco_operacional_axis
0,48460,12.524196820621764,0.4931469261646271,-0.4639993906021118,-0.24488578736782074,0.3997918665409088,0.4422222375869751,0.8785811066627502,0.5333588123321533,4,vegetacao densa,0.3
1,19077,4.930336416570396,0.10895513743162155,-0.11084127426147461,-0.09501732140779495,0.18240246176719666,1.32811439037323,1.6108357906341553,1.3423928022384644,9,nuvem/neve/brilho alto,0.8
2,49566,12.810035897873265,0.15197335183620453,-0.14755922555923462,-0.08743974566459656,0.16269437968730927,0.8596034049987793,1.0779916048049927,0.905737578868866,9,nuvem/neve/brilho alto,0.8
3,57742,14.923074139833718,0.128356471657753,-0.1575980931520462,0.05911431461572647,0.02197370119392872,0.5279329419136047,0.5994911193847656,0.6741476655006409,5,nuvem/neve/brilho alto,0.8
4,64118,16.570913160227533,0.13185136020183563,-0.12425881624221802,-0.016919275745749474,0.07563503086566925,0.2787574529647827,0.3266054093837738,0.3169325888156891,3,solo exposto/area construida,0.55
5,147968,38.24144356487332,0.3016354739665985,-0.34016090631484985,-0.04535705968737602,0.20607545971870422,0.45457723736763,0.6786655187606812,0.6211506724357605,5,vegetacao rala/campo,0.35
